encounter_id,user_id,starts_at,ends_at,platform,saw_verification_timestamp,start_veritifcation_timestamp,confirmed_selfie_timestamp,verification_confirmed_timestamp
Encounter:141021,User:474501,2020-08-01 15:03:46,2020-08-01 17:36:40,ios,2020-08-01 17:00:44,2020-08-01 17:00:48,2020-08-01 17:02:09,2020-08-01 17:02:45
Encounter:141293,User:474611,2020-08-03 15:49:34,2020-08-03 17:51:37,web,2020-08-03 16:55:11,2020-08-03 16:55:36,2020-08-03 16:56:58,2020-08-03 16:58:06
Encounter:141335,User:474630,2020-08-03 22:00:37,2020-08-04 2:41:13,ios,2020-08-04 2:04:13,2020-08-04 2:04:24,2020-08-04 2:05:09,2020-08-04 2:05:45
Encounter:141652,User:474778,2020-08-05 18:18:51,2020-08-05 19:21:22,ios,2020-08-05 18:37:46,2020-08-05 18:38:26,2020-08-05 18:40:44,2020-08-05 18:44:26
Encounter:142492,User:475119,2020-08-11 21:12:02,2020-08-12 3:28:03,ios,2020-08-11 22:47:43,2020-08-11 22:49:44,2020-08-11 22:50:32,2020-08-11 22:50:47
Encounter:142698,User:475209,2020-08-13 1:19:07,2020-08-13 3:44:25,ios,2020-08-13 2:58:41,2020-08-13 3:01:32,2020-08-13 3:02:52,2020-08-13 3:10:17
Encounter:142698,User:475209,2020-08-13 1:19:07,2020-08-13 3:44:25,ios,2020-08-13 3:02:03,2020-08-13 3:01:32,2020-08-13 3:02:52,2020-08-13 3:10:17
Encounter:142790,User:475252,2020-08-13 16:49:58,2020-08-13 18:08:55,web,2020-08-13 17:15:36,2020-08-13 17:15:53,2020-08-13 17:25:16,2020-08-13 17:25:53
Encounter:143710,User:475655,2020-08-19 0:09:11,2020-08-19 3:24:58,web,2020-08-19 2:20:15,2020-08-19 2:20:57,2020-08-19 2:22:07,2020-08-19 2:23:44
Encounter:144005,User:475778,2020-08-20 19:28:47,2020-08-20 20:29:23,web,2020-08-20 19:46:44,2020-08-20 19:47:08,2020-08-20 19:49:41,2020-08-20 19:50:17
Encounter:144005,User:475778,2020-08-20 19:28:47,2020-08-20 20:29:23,web,2020-08-20 19:46:44,2020-08-20 19:47:08,2020-08-20 19:49:41,2020-08-20 19:50:17
Encounter:144843,User:475474,2020-08-25 19:38:02,2020-08-25 21:41:35,web,2020-08-25 20:07:12,2020-08-25 20:07:38,2020-08-25 20:08:21,2020-08-25 20:09:11
Encounter:144975,User:476197,2020-08-26 3:59:58,2020-08-26 18:02:22,ios,2020-08-26 5:00:28,2020-08-26 5:01:02,2020-08-26 4:59:14,2020-08-26 5:04:34
Encounter:146984,User:477094,2020-09-05 21:14:25,2020-09-05 23:35:12,web,2020-09-05 22:17:42,2020-09-05 22:17:52,2020-09-05 22:18:49,2020-09-05 22:19:21
Encounter:147690,User:477409,2020-09-09 1:55:15,2020-09-09 4:25:30,web,2020-09-09 3:25:58,2020-09-09 3:26:12,2020-09-09 3:27:05,2020-09-09 3:29:14
Encounter:147716,User:477425,2020-09-09 6:06:47,2020-09-09 20:32:32,web,2020-09-09 7:06:16,2020-09-09 7:10:06,2020-09-09 7:11:34,2020-09-09 7:12:24
Encounter:148741,User:477903,2020-09-14 21:39:00,2020-09-14 22:58:52,web,2020-09-14 22:12:14,2020-09-14 22:12:25,2020-09-14 22:14:21,2020-09-14 22:20:20
Encounter:148751,User:477909,2020-09-14 22:50:54,2020-09-15 0:17:26,web,2020-09-14 23:25:21,2020-09-14 23:26:01,2020-09-14 23:27:14,2020-09-14 23:32:36
